label,oid,gid,c, wbcc, wrn, i, nfb, sscore, len, imn, svtype, wbrc, im, vpc, wbfc, wcn
0,1022:2309351002844123565489303826,777600593768218625,0, 0, 5, 0, 0, 55, 1236, 1, 3, 0, 1, 0, 0, 0
0,1022:2309351001904123579112409531,777600169774415873,0, 0, 4, 0, 0, 50, 1796, 0, -1, 0, 0, 0, 0, 0
0,1022:2309404123584703369902,777599784032665601,0, 0, 42, 0, 0, 50, 1937, 1, -1, 0, 1, 0, 0, 0
0,1022:2309614123638004625317,777603536357687301,0, 0, 5, 0, 0, 50, 995, 0, -1, 0, 0, 0, 0, 0
0,1022:2309351002274123572074373474,777600895087017986,0, 0, 1, 0, 0, 85, 1608, 6, 3, 0, 1, 0, 0, 0
0,1022:2309351000774123533457363261,777592986844266498,0, 0, 37, 0, 0, 100, 1147, 0, 3, 0, 0, 0, 0, 0
0,1022:2309614123546279406917,777595325319741441,0, 0, 0, 0, 0, 50, 312, 1, -1, 0, 1, 0, 0, 0
0,1022:2309351000634123638713434566,777600943271182338,0, 0, 3, 0, 0, 100, 1493, 5, 3, 0, 1, 0, 0, 0
0,1022:2309404123562234482638,777595652542562305,0, 0, 154, 0, 0, 50, 2809, 1, 1000, 0, 1, 0, 0, 0
0,1042015:articleMblog_4123683700838693,777569657791447041,0, 4, 0, 0, 0, 50, 108, 1, 3, 4, 1, 3241527, 8, 6012
0,1022:2309351002764123569331280021,777601145805733892,0, 0, 7, 0, 0, 100, 1125, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351002764123581079500327,777602084927176705,0, 0, 62, 0, 0, 100, 605, 0, 3, 0, 0, 0, 0, 0
0,1022:2309351002454123573827577539,777602007617765382,0, 0, 32, 0, 0, 100, 682, 2, 3, 0, 1, 0, 0, 1
0,1022:2309404123604928341455,777578854925467649,0, 3, 47228, 0, 0, 20, 1383, 1, 9000, 1, 1, 0, 6, 2
0,1022:2309614123696779394081,777604958662950914,0, 0, 31, 0, 0, 50, 575, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123628991045460,777603899416641537,0, 0, 34, 0, 0, 50, 1382, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123559569463854,777519916164579329,0, 0, 0, 0, 0, 50, 97, 1, 1000, 2, 1, 54415, 3, 20
0,1042015:articleMblog_4123545648345055,777593246152916994,0, 60, 0, 0, 0, 70, 138, 1, 3, 22, 1, 0, 35, 0
0,1022:2309614123635089574640,777602007617765382,0, 0, 7, 0, 0, 50, 626, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123549509004365,777597133232537601,0, 0, 0, 0, 0, 50, 709, 0, -1, 0, 0, 0, 0, 0
0,1022:2309614123561030767332,777600854955917315,0, 0, 0, 0, 0, 50, 845, 0, -1, 0, 0, 0, 0, 0
1,1022:2309351000124123559357219712,777209761542176770,0, 0, 56, 0, 0, 100, 1196, 1, 3, 0, 1, 0, 0, 1
1,1022:2309351000024123563908030864,777601765086330881,0, 0, 6, 0, 0, 100, 401, 1, 3, 0, 1, 0, 0, 0
0,1022:2309614123540063437502,777597132829884417,0, 0, 0, 0, 0, 50, 844, 2, -1, 0, 1, 0, 0, 0
0,1022:2309614123557247459132,777591539440287745,0, 0, 1, 0, 0, 50, 604, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123691551776013,777591401331818498,0, 4, 0, 0, 0, 60, 120, 1, 3, 2, 1, 888662, 0, 1965
0,1042015:articleMblog_4123621574090644,777595080642396163,0, 0, 0, 0, 0, 50, 133, 1, 3, 0, 1, 311284, 3, 31
0,1022:2309614123620925425796,777601122183413761,0, 0, 46, 0, 0, 50, 276, 0, -1, 0, 0, 0, 0, 0
0,1042015:articleMblog_4123671415221358,776179395936649356,0, 7, 0, 0, 0, 50, 98, 1, 1000, 14, 1, 14964157, 34, 15740
